# Language File – MOD_SLIDESHOW
# FRENCH
# ----- slideshow module -----
"Digitalus CMS";"Digitalus CMS"
"Slideshow";"Diaporama"
# admin section -- Index --
"Create Slideshow";"Créer un diaporama"
"Current Shows";"Diaporamas actuels"
"You do not have any slideshows currently";"Vous n'avez pas de diaporamas actuellement"
"Slideshow Module";"Module de diaporama"
"About";"A propos"
"The slideshow module enables you to publish slideshows on your site.";"Le module de diaporama vous permet de publier des diaporamas sur votre site."
"These slideshows consist of slides which each contain a picture, a title, and description. You can sort these slides to display in any order.";"Ces diaporamas contiennent des diapos faites d'une image, un titre et une description. Vous pouvez trier ces diapos pour les afficher dans l'ordre désiré."
"Create a new slideshow";"Créer un nouveau diaporama"
"Select the slideshow";"Sélectionner le diaporama"
"image";"Image"
"Slide";"Diapositive"
"of";"de"
# admin section -- Show --
"Update Slideshow";"Mettre à jour le diaporama"
"Add New Slide";"Ajouter une nouvelle diapositive"
"Current Slides";"Diapositives actuelles"
"Reorder Slides";"Réordonner les diapositives"
"This show does not have any slides";"Ce diaporama ne contient aucunes diapositives"
"Update Show";"Mettre à jour le diaporama"
"Slideshow Name";"Nom du diaporama"
"Description";"Description"
# admin section -- Slide --
"Update Slide";"Mettre à jour la diapositive"
"Slide Options";"Options de diapo"
"slideshow";
"Slides";
"To change the order a slide is displayed in click the drag icon next to the item and move the item up or down.";"Pour changer l'ordre dans lequel une diapo est affichée, cliquez l'icône de glissement à côté de l'élément et faites le bouger soit en bas soit en haut."
"Then click Done Reordering Slides to save your changes.";"Puis cliquez sur 'Réoganisation des diapositives effectuée' pour sauvegarder vos changements."
"Done Reordering Slides";"Réoganisation des diapositives effectuée"
"Current Image";"Image actuelle"
"Image Preview (scaled)";"Prévisualisation d'image (redimmensionnée)"
"Image";"Image"
"Caption";"Légende"
"There are no slideshows to view!";"Il n'y a pas de diaporama à afficher!"
"Select One";"En sélectionner un"
"Title";"Titre"
"Written by";"Ecrit par"
"on";"le"
"View All";"Tout voir"
# END
