# Language File – MOD_SLIDESHOW
# GERMAN
# ----- slideshow module -----
"Digitalus CMS";"Digitalus CMS"
"Slideshow";"Diaschau"
# admin section -- Index --
"Create Slideshow";"Erzeuge Diaschau"
"Current Shows";"Aktuelle Diaschauen"
"You do not have any slideshows currently";"Es gibt momentan keine Diaschau"
"Slideshow Module";"Diaschau-Modul"
"About";"Über"
"The slideshow module enables you to publish slideshows on your site.";"Das Diaschau-Modul ermöglicht es Ihnen, Diaschauen zu veröffentlichen"
"These slideshows consist of slides which each contain a picture, a title, and description. You can sort these slides to display in any order.";"Diese Diaschau bestehen aus Dias, die jeweils ein Bild, einen Titel und eine Beschreibung enthalten. Sie können diese Dias in beliebiger Reihenfolge sortieren."
"Create a new slideshow";"Erzeuge neue Präsentation"
"Select the slideshow";"Wähle Diaschau aus"
"image";"Bild"
"Slide";"Dia"
"of";"von"
# admin section -- Show --
"Update Slideshow";"Aktualisiere Diaschau"
"Add New Slide";"Füge neues Dia hinzu"
"Current Slides";"Aktuelle Dias"
"Reorder Slides";"Dia sortieren"
"This show does not have any slides";"Diese Diaschau hat bisher keine Dias"
"Update Show";"Aktualisiere Diaschau"
"Slideshow Name";"Name der Diaschau"
"Description";"Beschreibung"
# admin section -- Slide --
"Update Slide";"Aktualisiere Dia"
"Slide Options";"Dia Optionen"
"slideshow";"Diaschau"
"Slides";"Dias"
"To change the order a slide is displayed in click the drag icon next to the item and move the item up or down.";"Um die Dia-Reihenfolge zu ändern, klicken Sie auf das Icon neben dem Dia und bewegen Sie es hoch oder runter."
"Then click Done Reordering Slides to save your changes.";"Klicken Sie dann auf „Fertig Reihenfolge ändern“ um Ihre Änderungen zu speichern."
"Done Reordering Slides";"Fertig Reihenfolge ändern"
"Current Image";"Aktuelles Bild"
"Image Preview (scaled)";"Bildvorschau (skaliert)"
"Image";"Bild"
"Caption";"Bildunterschrift"
"There are no slideshows to view!";"Es gibt keine Diaschauen anzusehen!"
"Select One";"Wähle aus"
"Title";"Titel"
"Written by";"Geschrieben von"
"on";"am"
"View All";"Alle ansehen"
# END
